|0⟩	 0.000000 +  0.000000 i	 == 	                     [ 0.000000 ]                   
|1⟩	 0.500000 +  0.000000 i	 == 	******               [ 0.250000 ]     --- [  0.00000 rad ]
|10⟩	 0.000000 +  0.000000 i	 == 	                     [ 0.000000 ]                   
|2⟩	 0.000000 +  0.000000 i	 == 	                     [ 0.000000 ]                   
|3⟩	 0.000000 +  0.000000 i	 == 	                     [ 0.000000 ]                   
|11⟩	 0.000000 +  0.000000 i	 == 	                     [ 0.000000 ]                   
|4⟩	 0.000000 +  0.000000 i	 == 	                     [ 0.000000 ]                   
|5⟩	 0.000000 +  0.000000 i	 == 	                     [ 0.000000 ]                   
|12⟩	 0.500000 +  0.000000 i	 == 	******               [ 0.250000 ]     --- [  0.00000 rad ]
|6⟩	 0.500000 +  0.000000 i	 == 	******               [ 0.250000 ]     --- [  0.00000 rad ]
|7⟩	 0.000000 +  0.000000 i	 == 	                     [ 0.000000 ]                   
|13⟩	 0.000000 +  0.000000 i	 == 	                     [ 0.000000 ]                   
|8⟩	 0.500000 +  0.000000 i	 == 	******               [ 0.250000 ]     --- [  0.00000 rad ]
|9⟩	 0.000000 +  0.000000 i	 == 	                     [ 0.000000 ]                   
|14⟩	 0.000000 +  0.000000 i	 == 	                     [ 0.000000 ]                   
|15⟩	 0.000000 +  0.000000 i	 == 	                     [ 0.000000 ]                   
